CNB02920.mRNA
CNB02970.mRNA
CNB03200-t26_1
CNB03220.mRNA
CNB02930.mRNA
CNB02950.mRNA
CNK00160.mRNA
CNB02960.mRNA
CNB02940.mRNA
CNB02860-t26_1
CNB02910.mRNA
